11325 atoms
1 atom types

0.0 4.072500000000001 xlo xhi
0.0 4.072500000000001 ylo yhi
0.0 4.072500000000001 zlo zhi
0.000000 0.000000 0.000000 xy xz yz

Masses

1 28.0855

Atoms
133 1 1.086 3.258 0.0 0.132
134 1 1.086 3.5295 0.0 0.132
135 1 1.086 3.801 0.0 0.132
136 1 1.2217500000000001 0.13575 0.0 0.132
137 1 1.2217500000000001 0.40725 0.0 0.132
138 1 1.2217500000000001 0.6787500000000001 0.0 0.132
139 1 1.2217500000000001 0.95025 0.0 0.132
140 1 1.2217500000000001 1.2217500000000001 0.0 0.132
141 1 1.2217500000000001 1.4932500000000002 0.0 0.132
142 1 1.2217500000000001 1.76475 0.0 0.132
143 1 1.2217500000000001 2.0362500000000003 0.0 0.132
144 1 1.2217500000000001 2.30775 0.0 0.132
145 1 1.2217500000000001 2.57925 0.0 0.132
146 1 1.2217500000000001 2.85075 0.0 0.132
147 1 1.2217500000000001 3.12225 0.0 0.132
148 1 1.2217500000000001 3.3937500000000003 0.0 0.132
149 1 1.2217500000000001 3.6652500000000003 0.0 0.132
150 1 1.2217500000000001 3.9367500000000004 0.0 0.132
151 1 1.3575000000000002 0.0 0.0 0.132
152 1 1.3575000000000002 0.2715 0.0 0.132
153 1 1.3575000000000002 0.543 0.0 0.132
154 1 1.3575000000000002 0.8145 0.0 0.132
155 1 1.3575000000000002 1.086 0.0 0.132
156 1 1.3575000000000002 1.3575000000000002 0.0 0.132
157 1 1.3575000000000002 1.629 0.0 0.132
158 1 1.3575000000000002 1.9005 0.0 0.132
159 1 1.3575000000000002 2.172 0.0 0.132
160 1 1.3575000000000002 2.4435000000000002 0.0 0.132
161 1 1.3575000000000002 2.7150000000000003 0.0 0.132
162 1 1.3575000000000002 2.9865000000000004 0.0 0.132
163 1 1.3575000000000002 3.258 0.0 0.132
164 1 1.3575000000000002 3.5295 0.0 0.132
165 1 1.3575000000000002 3.801 0.0 0.132
166 1 1.4932500000000002 0.13575 0.0 0.132
167 1 1.4932500000000002 0.40725 0.0 0.132
168 1 1.4932500000000002 0.6787500000000001 0.0 0.132
169 1 1.4932500000000002 0.95025 0.0 0.132
170 1 1.4932500000000002 1.2217500000000001 0.0 0.132
171 1 1.4932500000000002 1.4932500000000002 0.0 0.132
172 1 1.4932500000000002 1.76475 0.0 0.132
173 1 1.4932500000000002 2.0362500000000003 0.0 0.132
174 1 1.4932500000000002 2.30775 0.0 0.132
175 1 1.4932500000000002 2.57925 0.0 0.132
176 1 1.4932500000000002 2.85075 0.0 0.132
177 1 1.4932500000000002 3.12225 0.0 0.132
178 1 1.4932500000000002 3.3937500000000003 0.0 0.132
179 1 1.4932500000000002 3.6652500000000003 0.0 0.132
180 1 1.4932500000000002 3.9367500000000004 0.0 0.132
181 1 1.629 0.0 0.0 0.132
182 1 1.629 0.2715 0.0 0.132
183 1 1.629 0.543 0.0 0.132
184 1 1.629 0.8145 0.0 0.132
185 1 1.629 1.086 0.0 0.132
186 1 1.629 1.3575000000000002 0.0 0.132
187 1 1.629 1.629 0.0 0.132
188 1 1.629 1.9005 0.0 0.132
189 1 1.629 2.172 0.0 0.132
190 1 1.629 2.4435000000000002 0.0 0.132
191 1 1.629 2.7150000000000003 0.0 0.132
192 1 1.629 2.9865000000000004 0.0 0.132
193 1 1.629 3.258 0.0 0.132
194 1 1.629 3.5295 0.0 0.132
195 1 1.629 3.801 0.0 0.132
196 1 1.76475 0.13575 0.0 0.132
197 1 1.76475 0.40725 0.0 0.132
198 1 1.76475 0.6787500000000001 0.0 0.132
199 1 1.76475 0.95025 0.0 0.132
200 1 1.76475 1.2217500000000001 0.0 0.132
201 1 1.76475 1.4932500000000002 0.0 0.132
202 1 1.76475 1.76475 0.0 0.132
203 1 1.76475 2.0362500000000003 0.0 0.132
204 1 1.76475 2.30775 0.0 0.132
205 1 1.76475 2.57925 0.0 0.132
206 1 1.76475 2.85075 0.0 0.132
207 1 1.76475 3.12225 0.0 0.132
208 1 1.76475 3.3937500000000003 0.0 0.132
209 1 1.76475 3.6652500000000003 0.0 0.132
210 1 1.76475 3.9367500000000004 0.0 0.132
211 1 1.9005 0.0 0.0 0.132
212 1 1.9005 0.2715 0.0 0.132
213 1 1.9005 0.543 0.0 0.132
214 1 1.9005 0.8145 0.0 0.132
215 1 1.9005 1.086 0.0 0.132
216 1 1.9005 1.3575000000000002 0.0 0.132
217 1 1.9005 1.629 0.0 0.132
218 1 1.9005 1.9005 0.0 0.132
219 1 1.9005 2.172 0.0 0.132
220 1 1.9005 2.4435000000000002 0.0 0.132
221 1 1.9005 2.7150000000000003 0.0 0.132
222 1 1.9005 2.9865000000000004 0.0 0.132
223 1 1.9005 3.258 0.0 0.132
224 1 1.9005 3.5295 0.0 0.132
225 1 1.9005 3.801 0.0 0.132
226 1 2.0362500000000003 0.13575 0.0 0.132
227 1 2.0362500000000003 0.40725 0.0 0.132
228 1 2.0362500000000003 0.6787500000000001 0.0 0.132
229 1 2.0362500000000003 0.95025 0.0 0.132
230 1 2.0362500000000003 1.2217500000000001 0.0 0.132
231 1 2.0362500000000003 1.4932500000000002 0.0 0.132
232 1 2.0362500000000003 1.76475 0.0 0.132
233 1 2.0362500000000003 2.0362500000000003 0.0 0.132
234 1 2.0362500000000003 2.30775 0.0 0.132
235 1 2.0362500000000003 2.57925 0.0 0.132
236 1 2.0362500000000003 2.85075 0.0 0.132
237 1 2.0362500000000003 3.12225 0.0 0.132
238 1 2.0362500000000003 3.3937500000000003 0.0 0.132
239 1 2.0362500000000003 3.6652500000000003 0.0 0.132
240 1 2.0362500000000003 3.9367500000000004 0.0 0.132
241 1 2.172 0.0 0.0 0.132
242 1 2.172 0.2715 0.0 0.132
243 1 2.172 0.543 0.0 0.132
244 1 2.172 0.8145 0.0 0.132
245 1 2.172 1.086 0.0 0.132
246 1 2.172 1.3575000000000002 0.0 0.132
247 1 2.172 1.629 0.0 0.132
248 1 2.172 1.9005 0.0 0.132
249 1 2.172 2.172 0.0 0.132
250 1 2.172 2.4435000000000002 0.0 0.132
251 1 2.172 2.7150000000000003 0.0 0.132
252 1 2.172 2.9865000000000004 0.0 0.132
253 1 2.172 3.258 0.0 0.132
254 1 2.172 3.5295 0.0 0.132
255 1 2.172 3.801 0.0 0.132
256 1 2.30775 0.13575 0.0 0.132
257 1 2.30775 0.40725 0.0 0.132
258 1 2.30775 0.6787500000000001 0.0 0.132
259 1 2.30775 0.95025 0.0 0.132
260 1 2.30775 1.2217500000000001 0.0 0.132
261 1 2.30775 1.4932500000000002 0.0 0.132
262 1 2.30775 1.76475 0.0 0.132
263 1 2.30775 2.0362500000000003 0.0 0.132
264 1 2.30775 2.30775 0.0 0.132
265 1 2.30775 2.57925 0.0 0.132
266 1 2.30775 2.85075 0.0 0.132
267 1 2.30775 3.12225 0.0 0.132
268 1 2.30775 3.3937500000000003 0.0 0.132
269 1 2.30775 3.6652500000000003 0.0 0.132
270 1 2.30775 3.9367500000000004 0.0 0.132
271 1 2.4435000000000002 0.0 0.0 0.132
272 1 2.4435000000000002 0.2715 0.0 0.132
273 1 2.4435000000000002 0.543 0.0 0.132
274 1 2.4435000000000002 0.8145 0.0 0.132
275 1 2.4435000000000002 1.086 0.0 0.132
276 1 2.4435000000000002 1.3575000000000002 0.0 0.132
277 1 2.4435000000000002 1.629 0.0 0.132
278 1 2.4435000000000002 1.9005 0.0 0.132
279 1 2.4435000000000002 2.172 0.0 0.132
280 1 2.4435000000000002 2.4435000000000002 0.0 0.132
281 1 2.4435000000000002 2.7150000000000003 0.0 0.132
282 1 2.4435000000000002 2.9865000000000004 0.0 0.132
283 1 2.4435000000000002 3.258 0.0 0.132
284 1 2.4435000000000002 3.5295 0.0 0.132
285 1 2.4435000000000002 3.801 0.0 0.132
286 1 2.57925 0.13575 0.0 0.132
287 1 2.57925 0.40725 0.0 0.132
288 1 2.57925 0.6787500000000001 0.0 0.132
289 1 2.57925 0.95025 0.0 0.132
290 1 2.57925 1.2217500000000001 0.0 0.132
291 1 2.57925 1.4932500000000002 0.0 0.132
292 1 2.57925 1.76475 0.0 0.132
293 1 2.57925 2.0362500000000003 0.0 0.132
294 1 2.57925 2.30775 0.0 0.132
295 1 2.57925 2.57925 0.0 0.132
296 1 2.57925 2.85075 0.0 0.132
297 1 2.57925 3.12225 0.0 0.132
298 1 2.57925 3.3937500000000003 0.0 0.132
299 1 2.57925 3.6652500000000003 0.0 0.132
300 1 2.57925 3.9367500000000004 0.0 0.132
301 1 2.7150000000000003 0.0 0.0 0.132
302 1 2.7150000000000003 0.2715 0.0 0.132
303 1 2.7150000000000003 0.543 0.0 0.132
304 1 2.7150000000000003 0.8145 0.0 0.132
305 1 2.7150000000000003 1.086 0.0 0.132
306 1 2.7150000000000003 1.3575000000000002 0.0 0.132
307 1 2.7150000000000003 1.629 0.0 0.132
308 1 2.7150000000000003 1.9005 0.0 0.132
309 1 2.7150000000000003 2.172 0.0 0.132
310 1 2.7150000000000003 2.4435000000000002 0.0 0.132
311 1 2.7150000000000003 2.7150000000000003 0.0 0.132
312 1 2.7150000000000003 2.9865000000000004 0.0 0.132
313 1 2.7150000000000003 3.258 0.0 0.132
314 1 2.7150000000000003 3.5295 0.0 0.132
315 1 2.7150000000000003 3.801 0.0 0.132
316 1 2.85075 0.13575 0.0 0.132
317 1 2.85075 0.40725 0.0 0.132
318 1 2.85075 0.6787500000000001 0.0 0.132
319 1 2.85075 0.95025 0.0 0.132
320 1 2.85075 1.2217500000000001 0.0 0.132
321 1 2.85075 1.4932500000000002 0.0 0.132
322 1 2.85075 1.76475 0.0 0.132
323 1 2.85075 2.0362500000000003 0.0 0.132
324 1 2.85075 2.30775 0.0 0.132
325 1 2.85075 2.57925 0.0 0.132
326 1 2.85075 2.85075 0.0 0.132
327 1 2.85075 3.12225 0.0 0.132
328 1 2.85075 3.3937500000000003 0.0 0.132
329 1 2.85075 3.6652500000000003 0.0 0.132
330 1 2.85075 3.9367500000000004 0.0 0.132
331 1 2.9865000000000004 0.0 0.0 0.132
332 1 2.9865000000000004 0.2715 0.0 0.132
333 1 2.9865000000000004 0.543 0.0 0.132
334 1 2.9865000000000004 0.8145 0.0 0.132
335 1 2.9865000000000004 1.086 0.0 0.132
336 1 2.9865000000000004 1.3575000000000002 0.0 0.132
337 1 2.9865000000000004 1.629 0.0 0.132
338 1 2.9865000000000004 1.9005 0.0 0.132
339 1 2.9865000000000004 2.172 0.0 0.132
340 1 2.9865000000000004 2.4435000000000002 0.0 0.132
341 1 2.9865000000000004 2.7150000000000003 0.0 0.132
